date,ticker,action,shares,price,reason,nav_after,order_id
2026-05-29,FTNT,buy,66.0,128.5800018310547,entry,127364.26,88743ad8-d933-4861-844b-18fa3a32224a
2026-05-29,LRCX,buy,26.0,317.45001220703125,entry,127364.26,ed996ff6-edad-4bcc-8be1-737ff4a1e84e
2026-05-29,SPY,buy,2,750.25,spy_sleeve,127364.26,e188610a-4ad6-42e1-816e-b357d178420f
2026-06-01,COHR,sell,21.0,375.6499938964844,filter_exit,132537.99,16d882a8-e031-405b-b5a2-6079219d5f3d
2026-06-01,GLW,sell,35.0,184.0800018310547,filter_exit,132537.99,9a846c5b-0d15-4802-aabf-97bcbf428072
2026-06-01,TXN,sell,21.0,316.4800109863281,filter_exit,132537.99,ab93783f-a3ba-40d3-a93e-fee93c9faea4
2026-06-01,INTC,sell,69.0,123.8499984741211,filter_exit,132537.99,6c396179-2b94-4179-b735-a2e19087c061
2026-06-01,TER,buy,17.0,385.1600036621094,entry,132537.99,9e24203a-b317-4399-9ae8-9c65f2677bac
2026-06-01,DDOG,buy,29.0,234.0,entry,132537.99,90193a55-66ab-4c03-be2e-1f2f9ff736f4
2026-06-01,NTAP,buy,38.0,176.69000244140625,entry,132537.99,94284ba1-2fbf-46c6-9433-718df7a30f98
2026-06-01,PANW,buy,26.0,256.32000732421875,entry,132537.99,220aa246-76d6-43d0-9e65-c60db7555270
2026-06-01,SPY,sell,1,755.9000244140625,spy_sleeve,133039.63,818e608f-9e6d-46ca-8275-2e595170c13b
2026-06-08,SNDK,sell,7.0,1678.8800048828125,filter_exit,122035.54,1a8377d0-79ad-4b18-903b-805a4d8d3930
2026-06-08,MU,sell,14.0,944.4000244140625,filter_exit,122035.54,2d7435fd-6e0f-4a7c-8085-019d5acba51a
2026-06-08,CIEN,sell,14.0,512.3099975585938,filter_exit,122035.54,6ff866f9-c4f3-4d06-9f11-9962e320cbfb
2026-06-08,WDC,sell,18.0,545.25,filter_exit,122035.54,b882d36f-f9fa-4e07-a713-e063e7f9c09a
2026-06-08,STX,sell,12.0,889.1799926757812,filter_exit,122035.54,bbd167b7-e898-43dd-b1b0-6611574750af
2026-06-08,ON,sell,2.0,126.18000030517578,filter_exit,122035.54,38076c73-ee59-435e-a8de-b413cfcd1b38
2026-06-08,AMD,sell,15.0,499.5299987792969,filter_exit,122035.54,3af03252-b097-4b7e-ba79-3caf7b8dd245
2026-06-08,DELL,sell,26.0,405.7699890136719,filter_exit,122035.54,d71586c9-b54b-43ff-92dc-21bb33343f09
2026-06-08,HPE,sell,226.0,52.904998779296875,filter_exit,122035.54,f0463e8e-a525-4b8e-8e58-e4064413ac8c
2026-06-08,LRCX,sell,26.0,320.3699951171875,filter_exit,122035.54,a4fbfe48-c1a5-4f8f-a58f-c132b096b719
2026-06-08,TER,sell,17.0,389.5400085449219,filter_exit,122035.54,525b4ab3-2e59-4b9f-b98d-ff784fab87ad
2026-06-08,DDOG,sell,29.0,237.39999389648438,filter_exit,122035.54,f4c35210-4b4a-41a5-a2cf-8424dfd1c4f9
2026-06-08,CNC,buy,99.0,62.650001525878906,entry,122035.54,5200c72b-eb93-4dc7-bbc1-3d3bb5fcb415
2026-06-08,NUE,buy,24.0,260.04998779296875,entry,122035.54,b5ce023b-ac15-4dda-bb94-c7f02c14d0ce
2026-06-08,FFIV,buy,15.0,405.1400146484375,entry,122035.54,dea5b4c3-47f7-4193-a52d-45466b02e3f0
2026-06-08,FDX,buy,19.0,327.7300109863281,entry,122035.54,7bf11efd-a7f6-42b5-ab83-6346cf4eac3e
2026-06-08,STLD,buy,22.0,273.8900146484375,entry,122035.54,9bb49edb-c0f1-4a85-b9d4-1a220a6623b3
2026-06-08,JBHT,buy,21.0,285.3699951171875,entry,122035.54,56ebe218-d411-49e2-bda4-7a57441ef7d6
2026-06-08,CSCO,buy,48.0,128.66000366210938,entry,122035.54,96913890-58e6-40ff-9a10-abe968d12211
2026-06-08,HUM,buy,17.0,348.8399963378906,entry,122035.54,74c1f604-17d1-410f-9ab6-35ebe872a119
2026-06-08,HST,buy,255.0,24.469999313354492,entry,122035.54,5b828f00-2654-47b2-b7f6-72dee2126ca8
2026-06-08,STT,buy,38.0,162.2899932861328,entry,122035.54,37861b03-179a-4b3d-8725-abf7ffb9b6a9
2026-06-08,EQIX,buy,5.0,1079.4200439453125,entry,122035.54,580e5898-9d75-4f3a-b014-ef261ae84b66
2026-06-08,ODFL,buy,25.0,245.52000427246094,entry,122035.54,a28b95f2-480d-459f-8c88-39c81d39065b
2026-06-08,SPY,buy,2,752.3099975585938,spy_sleeve,122035.54,bdbee80e-4114-4fc3-82e5-adbbc8d5e8f4
